id_chatbot,intent,pertanyaan,jawaban,action,processed_question
1,sapaan,halo,Halo! Ada yang bisa saya bantu terkait layanan Bengkel Motor Kurnia?,,halo
2,sapaan,hai,Halo! Ada yang bisa saya bantu terkait layanan Bengkel Motor Kurnia?,,hai
3,sapaan,hallo,Halo! Ada yang bisa saya bantu terkait layanan Bengkel Motor Kurnia?,,hallo
4,sapaan,selamat pagi,"Selamat pagi, ada yang bisa kami bantu?",,selamat pagi
5,sapaan,selamat siang,"Selamat siang, silakan tanyakan kebutuhan Anda.",,selamat siang
6,sapaan,selamat sore,"Selamat sore, ada yang bisa dibantu?",,selamat sore
7,sapaan,permisi,"Halo, silakan tanyakan kebutuhan Anda.",,permisi
8,sapaan,assalamualaikum,"Waalaikumsalam, ada yang bisa dibantu?",,assalamualaikum
9,sapaan,salam,"Halo, selamat datang di Bengkel Motor Kurnia.",,salam
10,sapaan,pagi bengkel,"Selamat pagi, ada yang bisa dibantu?",,pagi bengkel
11,sapaan,halo bengkel,Halo! Ada yang bisa saya bantu terkait layanan bengkel?,,halo bengkel
12,sapaan,hai admin,Halo! Silakan tanyakan kebutuhan Anda.,,hai admin
13,sapaan,selamat malam,"Halo, pesan Anda tetap dapat ditanyakan melalui chatbot ini.",,selamat malam
14,sapaan,punten bengkel,"Halo, silakan tanyakan kebutuhan Anda.",,punten bengkel
15,bantuan_umum,tolong bantu saya,"Saya dapat membantu informasi bengkel, jadwal, lokasi, servis, stok barang, dan rekomendasi produk.",,bantu
16,bantuan_umum,saya butuh bantuan,Silakan tanyakan layanan bengkel yang Anda butuhkan.,,butuh bantu
17,bantuan_umum,bantu dong,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,bantu dong
18,bantuan_umum,chatbot ini bisa apa,"Saya dapat membantu lokasi bengkel, jadwal, servis motor, stok barang, dan rekomendasi produk.",,chatbot apa
19,bantuan_umum,fitur chatbot apa saja,"Saya dapat membantu lokasi bengkel, jadwal, servis motor, stok barang, dan rekomendasi produk.",,fitur chatbot apa
20,bantuan_umum,kamu bisa bantu apa,"Saya dapat membantu informasi bengkel, stok barang, dan keluhan motor sederhana.",,kamu bantu apa
21,bantuan_umum,saya mau tanya,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,mau tanya
22,bantuan_umum,mau tanya dong,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,mau tanya dong
23,bantuan_umum,butuh informasi bengkel,"Saya dapat membantu informasi bengkel, jadwal, lokasi, servis, stok barang, dan rekomendasi produk.",,butuh informasi bengkel
24,bantuan_umum,help,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,help
25,bantuan_umum,informasi apa saja yang tersedia,"Saya dapat membantu lokasi bengkel, jadwal, servis motor, stok barang, dan rekomendasi produk.",,informasi apa sedia
26,akhir_percakapan,terima kasih,"Sama-sama, semoga membantu.",,terima kasih
27,akhir_percakapan,makasih,"Sama-sama, hati-hati di jalan.",,makasih
28,akhir_percakapan,matur nuwun,"Sama-sama, semoga membantu.",,matur nuwun
29,akhir_percakapan,sudah cukup,"Baik, terima kasih telah menggunakan layanan chatbot bengkel.",,cukup
30,akhir_percakapan,itu saja,"Baik, terima kasih sudah menghubungi bengkel kami.",,
31,akhir_percakapan,tidak ada pertanyaan lagi,"Baik, terima kasih sudah menghubungi bengkel kami.",,tanya
32,akhir_percakapan,sudah jelas,"Baik, terima kasih telah menggunakan layanan chatbot bengkel.",,jelas
33,akhir_percakapan,oke makasih,"Sama-sama, semoga harimu menyenangkan.",,oke makasih
34,akhir_percakapan,bye,Terima kasih telah menggunakan layanan chatbot bengkel.,,bye
35,akhir_percakapan,sampai jumpa,Sampai jumpa kembali.,,jumpa
36,akhir_percakapan,ok sip,"Baik, semoga informasi yang diberikan membantu.",,sip
37,jadwal_bengkel,bengkel buka jam berapa,Bengkel buka pukul 08.00-17.00 WIB.,,bengkel buka jam berapa
38,jadwal_bengkel,jam operasional bengkel,Bengkel buka Senin-Sabtu pukul 08.00-17.00 WIB.,,jam operasional bengkel
39,jadwal_bengkel,hari ini buka tidak,Bengkel buka Senin-Sabtu pukul 08.00-17.00 WIB.,,hari buka
40,jadwal_bengkel,buka sampai jam berapa,Bengkel melayani sampai pukul 17.00 WIB.,,buka jam berapa
41,jadwal_bengkel,bengkel tutup jam berapa,Bengkel tutup pukul 17.00 WIB.,,bengkel tutup jam berapa
42,jadwal_bengkel,hari minggu buka tidak,Bengkel libur pada hari Minggu.,,hari minggu buka
43,jadwal_bengkel,sabtu buka tidak,Bengkel buka hari Senin-Sabtu.,,sabtu buka
44,jadwal_bengkel,bisa servis sore,Bengkel melayani servis sampai pukul 17.00 WIB.,,servis sore
45,jadwal_bengkel,jadwal bengkel gimana,Bengkel buka Senin-Sabtu pukul 08.00-17.00 WIB.,,jadwal bengkel gimana
46,jadwal_bengkel,buka dari pagi jam berapa,Bengkel buka mulai pukul 08.00 WIB.,,buka pagi jam berapa
47,jadwal_bengkel,bengkel libur hari apa,Bengkel libur hari Minggu.,,bengkel libur hari apa
48,jadwal_bengkel,masih buka sekarang,Bengkel buka sampai pukul 17.00 WIB.,,buka sekarang
49,lokasi_bengkel,alamat bengkel dimana,Bengkel berada di depan Masjid Senduro.,open_maps,alamat bengkel
50,lokasi_bengkel,lokasi bengkel dimana,Bengkel berada di depan Masjid Senduro.,open_maps,lokasi bengkel
51,lokasi_bengkel,bengkel ada dimana,Bengkel berada di depan Masjid Senduro.,open_maps,bengkel
52,lokasi_bengkel,share lokasi bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,share lokasi bengkel
53,lokasi_bengkel,ada maps bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,maps bengkel
54,lokasi_bengkel,kirim alamat bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,kirim alamat bengkel
55,lokasi_bengkel,bengkel dekat mana,Bengkel berada di depan Masjid Senduro.,open_maps,bengkel dekat mana
56,lokasi_bengkel,rute ke bengkel gimana,Bengkel berada di depan Masjid Senduro.,open_maps,rute bengkel gimana
57,lokasi_bengkel,posisi bengkel dimana,Bengkel berada di depan Masjid Senduro.,open_maps,posisi bengkel
58,lokasi_bengkel,lokasi lengkap bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,lokasi lengkap bengkel
59,lokasi_bengkel,maps kurnia motor,Bengkel berada di depan Masjid Senduro.,open_maps,maps kurnia motor
60,lokasi_bengkel,saya mau ke bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,mau bengkel
61,kontak_admin,nomor wa bengkel berapa,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor wa bengkel berapa
62,kontak_admin,wa bengkel berapa,Nomor WhatsApp kami adalah 085606213825.,open_wa,wa bengkel berapa
63,kontak_admin,nomor whatsapp bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor whatsapp bengkel
64,kontak_admin,bisa hubungi lewat whatsapp,Nomor WhatsApp kami adalah 085606213825.,open_wa,hubung lewat whatsapp
65,kontak_admin,kontak admin ada,Nomor WhatsApp kami adalah 085606213825.,open_wa,kontak admin
66,kontak_admin,nomor telepon bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor telepon bengkel
67,kontak_admin,minta nomor admin,Nomor WhatsApp kami adalah 085606213825.,open_wa,minta nomor admin
68,kontak_admin,saya mau chat petugas,Nomor WhatsApp kami adalah 085606213825.,open_wa,mau chat tugas
69,kontak_admin,hubungi petugas bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,hubung tugas bengkel
70,kontak_admin,nomor bengkel berapa,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor bengkel berapa
71,kontak_admin,kontak bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,kontak bengkel
72,kontak_admin,admin bisa dihubungi,Nomor WhatsApp kami adalah 085606213825.,open_wa,admin hubung
73,harga_servis,ganti oli motor berapa,"Biaya ganti oli mulai Rp50.000, belum termasuk harga oli tertentu.",,ganti oli motor berapa
74,harga_servis,servis motor berapa,Biaya servis motor mulai dari Rp75.000.,,servis motor berapa
75,harga_servis,servis lengkap habis berapa,Biaya servis lengkap mulai dari Rp150.000.,,servis lengkap habis berapa
76,harga_servis,tune up motor berapa,Biaya tune up mulai dari Rp100.000.,,tune up motor berapa
77,harga_servis,servis ringan berapa,Biaya servis ringan mulai dari Rp75.000.,,servis ringan berapa
78,harga_servis,cek motor bayar tidak,Pengecekan motor gratis.,,cek motor bayar
79,harga_servis,biaya cek kerusakan motor,Pengecekan motor gratis.,,biaya cek rusa motor
80,harga_servis,tarif servis matic,Biaya servis motor matic mulai dari Rp75.000.,,tarif servis matic
81,harga_servis,harga servis injeksi,Biaya servis injeksi menyesuaikan kondisi motor.,,harga servis injeksi
82,harga_servis,berapa biaya perbaikan rem,Biaya perbaikan rem menyesuaikan kondisi dan sparepart.,,berapa biaya baik rem
83,harga_servis,biaya ganti ban,Biaya penggantian ban menyesuaikan jenis ban.,,biaya ganti ban
84,harga_servis,harga tune up bengkel,Biaya tune up mulai dari Rp100.000.,,harga tune up bengkel
85,layanan_servis,motor saya brebet,Sedang menganalisis keluhan motor.,diagnosa,motor brebet
86,layanan_servis,motor brebet saat digas,Sedang menganalisis keluhan motor.,diagnosa,motor brebet gas
87,layanan_servis,motor brebet di tanjakan,Sedang menganalisis keluhan motor.,diagnosa,motor brebet tanjak
88,layanan_servis,motor brebet saat dingin,Sedang menganalisis keluhan motor.,diagnosa,motor brebet dingin
89,layanan_servis,motor susah hidup,Sedang menganalisis keluhan motor.,diagnosa,motor susah hidup
90,layanan_servis,rem motor keras,Sedang menganalisis keluhan motor.,diagnosa,rem motor keras
91,layanan_servis,mesin motor cepat panas,Sedang menganalisis keluhan motor.,diagnosa,mesin motor cepat panas
92,layanan_servis,bisa servis motor matic,Bengkel melayani servis motor matic.,,servis motor matic
93,layanan_servis,bisa servis injeksi,Bengkel menerima servis injeksi.,,servis injeksi
94,layanan_servis,bisa tune up motor,Bengkel melayani tune up motor.,,tune up motor
95,layanan_servis,bisa ganti ban,Bengkel melayani penggantian ban.,,ganti ban
96,layanan_servis,bisa ganti oli,Bengkel melayani penggantian oli.,,ganti oli
97,layanan_servis,bisa perbaiki rem motor,Bengkel melayani perbaikan rem motor.,,baik rem motor
98,layanan_servis,servis motor karburator bisa,Bengkel melayani servis motor karburator.,,servis motor karburator
99,layanan_servis,servis motor beat bisa,Bengkel melayani servis motor Beat.,,servis motor beat
100,layanan_servis,servis motor vario bisa,Bengkel melayani servis motor Vario.,,servis motor vario
101,cek_stok,stok oli yamalube matic,Sedang cek stok barang.,check_stock,stok oli yamalube matic
102,cek_stok,ada oli ahm mpx 2,Sedang cek stok barang.,check_stock,oli ahm mpx
103,cek_stok,oli enduro matic ready,Sedang cek stok barang.,check_stock,oli enduro matic ready
