intent;pertanyaan;jawaban;action
jadwal_bengkel;Bengkel buka jam berapa?;Bengkel buka pukul 08.00-17.00 WIB.;
jadwal_bengkel;Jam operasionalnya gimana?;Bengkel buka Senin-Sabtu pukul 08.00-17.00 WIB.;
jadwal_bengkel;Hari ini masih buka ga?;Bengkel buka sampai pukul 17.00 WIB.;
jadwal_bengkel;Bisa servis malam nggak?;Bengkel melayani servis sampai pukul 17.00 WIB.;
jadwal_bengkel;Bengkelnya tutup jam brp?;Bengkel tutup pukul 17.00 WIB.;
jadwal_bengkel;Bengkel masih buka sekarang?;Bengkel buka sampai pukul 17.00 WIB.;
jadwal_bengkel;Kalau hari Sabtu buka ga?;Bengkel buka hari Senin-Sabtu.;
jadwal_bengkel;Buka dari pagi jam berapa?;Bengkel buka mulai pukul 08.00 WIB.;
jadwal_bengkel;Bisa datang sore?;Bengkel melayani sampai pukul 17.00 WIB.;
jadwal_bengkel;Bengkel libur hari apa?;Bengkel libur hari Minggu.;
harga_servis;Ganti oli motor berapa bang?;Biaya ganti oli mulai Rp50.000.;
harga_servis;Servis lengkap habis berapa ya?;Biaya servis lengkap mulai Rp150.000.;
harga_servis;Tune up motor kena biaya berapa?;Biaya tune up mulai Rp100.000.;
harga_servis;Kalau servis biasa berapaan?;Biaya servis biasa mulai Rp75.000.;
harga_servis;Cek motor bayar gak?;Pengecekan motor gratis.;
harga_servis;Service ringan motor berapa?;Biaya servis biasa mulai Rp75.000.;
harga_servis;Servis motor matic habis berapa?;Biaya servis motor mulai Rp75.000.;
harga_servis;Tarif tune up motor berapa?;Biaya tune up mulai Rp100.000.;
harga_servis;Ganti oli kena biaya berapa ya?;Biaya ganti oli mulai Rp50.00.;
harga_servis;Cek kerusakan motor bayar ga?;Pengecekan motor gratis.;
lokasi_bengkel;Alamat bengkel dimana?;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Bengkelnya daerah mana ya?;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Share lokasi dong;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Ini posisi bengkelnya dimana sih?;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Ada mapsnya ga?;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Bengkel dekat mana ya?;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Kirim alamat bengkelnya dong;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Ada di Google Maps ga?;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Mau ke bengkel tapi alamatnya belum tau;Bengkel berada di Jl. Contoh No.10.;
lokasi_bengkel;Lokasi lengkap bengkelnya dimana?;Bengkel berada di Jl. Contoh No.10.;
stok_barang;Ada stok oli motul ga?;Stok oli Motul tersedia.;
stok_barang;Ban tubeless ready?;Stok ban tubeless tersedia.;
stok_barang;Masih ada kampas rem?;Kampas rem tersedia.;
stok_barang;Oli buat vario ada?;Oli untuk Vario tersedia.;
stok_barang;Sparepart beat lengkap gak?;Beberapa sparepart Beat tersedia.;
stok_barang;Ada oli castrol ga?;Stok oli Castrol tersedia.;
stok_barang;Masih ready ban motor?;Stok ban motor tersedia.;
stok_barang;Ada sparepart vario?;Beberapa sparepart Vario tersedia.;
stok_barang;Kampas rem motor ada ga?;Kampas rem tersedia.;
stok_barang;Oli untuk motor matic ready?;Oli motor matic tersedia.;
layanan_servis;Bisa servis motor matic?;Bengkel melayani servis motor matic.;
layanan_servis;Nerima servis injeksi ga?;Bengkel menerima servis injeksi.;
layanan_servis;Bisa tune up motor?;Bengkel melayani tune up motor.;
layanan_servis;Servis ringan bisa kan?;Bengkel melayani servis ringan.;
layanan_servis;Bisa ganti ban juga?;Bengkel melayani penggantian ban.;
layanan_servis;Bisa servis motor beat?;Bengkel melayani servis motor Beat.;
layanan_servis;Nerima ganti oli juga?;Bengkel melayani penggantian oli.;
layanan_servis;Bisa servis injeksi motor?;Bengkel menerima servis injeksi.;
layanan_servis;Servis motor karbu bisa?;Bengkel melayani servis motor karburator.;
layanan_servis;Bisa perbaiki rem motor?;Bengkel melayani perbaikan rem motor.;
akhir_percakapan;Sudah cukup;Baik, terima kasih telah menggunakan layanan chatbot bengkel.;
akhir_percakapan;Udah bang;Baik, semoga informasi yang diberikan membantu.;
akhir_percakapan;Makasih ya;Makasih ya, Sama-sama, hati-hati di jalan.;
akhir_percakapan;Oke terima kasih;Oke terima kasih,Terima kasih kembali.;
akhir_percakapan;Tidak ada pertanyaan lagi;Tidak ada pertanyaan lagi,Baik, terima kasih sudah menghubungi bengkel kami.;
akhir_percakapan;Sudah jelas;Baik, terima kasih telah menggunakan layanan chatbot bengkel.;
akhir_percakapan;Itu aja;Baik, semoga informasi yang diberikan membantu.;
akhir_percakapan;Ga ada lagi;Sama-sama, hati-hati di jalan.;
akhir_percakapan;Udah cukup infonya;Terima kasih sudah menghubungi bengkel kami.;
akhir_percakapan;Ok sip makasih;Sama-sama, semoga harimu menyenangkan.;
