id_chatbot,intent,pertanyaan,jawaban,action,processed_question
1,sapaan,halo,Halo! Ada yang bisa saya bantu terkait layanan Bengkel Motor Kurnia?,,halo
2,sapaan,hai,Halo! Ada yang bisa saya bantu terkait layanan Bengkel Motor Kurnia?,,hai
3,sapaan,hallo,Halo! Ada yang bisa saya bantu terkait layanan Bengkel Motor Kurnia?,,hallo
4,sapaan,selamat pagi,"Selamat pagi, ada yang bisa kami bantu?",,selamat pagi
5,sapaan,selamat siang,"Selamat siang, silakan tanyakan kebutuhan Anda.",,selamat siang
6,sapaan,selamat sore,"Selamat sore, ada yang bisa dibantu?",,selamat sore
7,sapaan,permisi,"Halo, silakan tanyakan kebutuhan Anda.",,permisi
8,sapaan,assalamualaikum,"Waalaikumsalam, ada yang bisa dibantu?",,assalamualaikum
9,sapaan,salam,"Halo, selamat datang di Bengkel Motor Kurnia.",,salam
10,sapaan,pagi bengkel,"Selamat pagi, ada yang bisa dibantu?",,pagi bengkel
11,sapaan,halo bengkel,Halo! Ada yang bisa saya bantu terkait layanan bengkel?,,halo bengkel
12,sapaan,hai admin,Halo! Silakan tanyakan kebutuhan Anda.,,hai admin
13,sapaan,selamat malam,"Halo, pesan Anda tetap dapat ditanyakan melalui chatbot ini.",,selamat malam
14,sapaan,punten bengkel,"Halo, silakan tanyakan kebutuhan Anda.",,punten bengkel
15,bantuan_umum,tolong bantu saya,"Saya dapat membantu informasi bengkel, jadwal, lokasi, servis, stok barang, dan rekomendasi produk.",,bantu
16,bantuan_umum,bantu saya,"Saya dapat membantu informasi bengkel, jadwal, lokasi, servis, stok barang, dan rekomendasi produk.",,bantu
17,bantuan_umum,bisa bantu saya,"Tentu, silakan tanyakan kebutuhan Anda terkait bengkel motor.",,bantu
18,bantuan_umum,saya butuh bantuan,Silakan tanyakan layanan bengkel yang Anda butuhkan.,,butuh bantu
19,bantuan_umum,bantu dong,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,bantu dong
20,bantuan_umum,chatbot ini bisa apa,"Saya dapat membantu lokasi bengkel, jadwal, servis motor, stok barang, dan rekomendasi produk.",,chatbot apa
21,bantuan_umum,fitur chatbot apa saja,"Saya dapat membantu lokasi bengkel, jadwal, servis motor, stok barang, dan rekomendasi produk.",,fitur chatbot apa
22,bantuan_umum,kamu bisa bantu apa,"Saya dapat membantu informasi bengkel, stok barang, dan keluhan motor sederhana.",,kamu bantu apa
23,bantuan_umum,saya mau tanya,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,mau tanya
24,bantuan_umum,mau tanya dong,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,mau tanya dong
25,bantuan_umum,butuh informasi bengkel,"Saya dapat membantu informasi bengkel, jadwal, lokasi, servis, stok barang, dan rekomendasi produk.",,butuh informasi bengkel
26,bantuan_umum,help,Silakan tanyakan kebutuhan Anda terkait bengkel motor.,,help
27,bantuan_umum,ada yang bisa dibantu,"Saya dapat membantu informasi bengkel, jadwal, lokasi, servis, stok barang, dan rekomendasi produk.",,bantu
28,bantuan_umum,informasi apa saja yang tersedia,"Saya dapat membantu lokasi bengkel, jadwal, servis motor, stok barang, dan rekomendasi produk.",,informasi apa sedia
29,akhir_percakapan,terima kasih,"Sama-sama, semoga membantu.",,terima kasih
30,akhir_percakapan,makasih,"Sama-sama, hati-hati di jalan.",,makasih
31,akhir_percakapan,matur nuwun,"Sama-sama, semoga membantu.",,matur nuwun
32,akhir_percakapan,sudah cukup,"Baik, terima kasih telah menggunakan layanan chatbot bengkel.",,cukup
33,akhir_percakapan,cukup,"Baik, semoga informasi yang diberikan membantu.",,cukup
34,akhir_percakapan,itu saja,"Baik, terima kasih sudah menghubungi bengkel kami.",,
35,akhir_percakapan,tidak ada pertanyaan lagi,"Baik, terima kasih sudah menghubungi bengkel kami.",,tanya
36,akhir_percakapan,sudah jelas,"Baik, terima kasih telah menggunakan layanan chatbot bengkel.",,jelas
37,akhir_percakapan,oke makasih,"Sama-sama, semoga harimu menyenangkan.",,oke makasih
38,akhir_percakapan,bye,Terima kasih telah menggunakan layanan chatbot bengkel.,,bye
39,akhir_percakapan,sampai jumpa,Sampai jumpa kembali.,,jumpa
40,akhir_percakapan,ok sip,"Baik, semoga informasi yang diberikan membantu.",,sip
41,jadwal_bengkel,bengkel buka jam berapa,Bengkel buka pukul 08.00-17.00 WIB.,,bengkel buka jam berapa
42,jadwal_bengkel,jam operasional bengkel,Bengkel buka Senin-Sabtu pukul 08.00-17.00 WIB.,,jam operasional bengkel
43,jadwal_bengkel,hari ini buka tidak,Bengkel buka Senin-Sabtu pukul 08.00-17.00 WIB.,,hari buka
44,jadwal_bengkel,buka sampai jam berapa,Bengkel melayani sampai pukul 17.00 WIB.,,buka jam berapa
45,jadwal_bengkel,bengkel tutup jam berapa,Bengkel tutup pukul 17.00 WIB.,,bengkel tutup jam berapa
46,jadwal_bengkel,hari minggu buka tidak,Bengkel libur pada hari Minggu.,,hari minggu buka
47,jadwal_bengkel,sabtu buka tidak,Bengkel buka hari Senin-Sabtu.,,sabtu buka
48,jadwal_bengkel,bisa servis sore,Bengkel melayani servis sampai pukul 17.00 WIB.,,servis sore
49,jadwal_bengkel,jadwal bengkel gimana,Bengkel buka Senin-Sabtu pukul 08.00-17.00 WIB.,,jadwal bengkel gimana
50,jadwal_bengkel,buka dari pagi jam berapa,Bengkel buka mulai pukul 08.00 WIB.,,buka pagi jam berapa
51,jadwal_bengkel,bengkel libur hari apa,Bengkel libur hari Minggu.,,bengkel libur hari apa
52,jadwal_bengkel,masih buka sekarang,Bengkel buka sampai pukul 17.00 WIB.,,buka sekarang
53,lokasi_bengkel,alamat bengkel dimana,Bengkel berada di depan Masjid Senduro.,open_maps,alamat bengkel
54,lokasi_bengkel,lokasi bengkel dimana,Bengkel berada di depan Masjid Senduro.,open_maps,lokasi bengkel
55,lokasi_bengkel,bengkel ada dimana,Bengkel berada di depan Masjid Senduro.,open_maps,bengkel
56,lokasi_bengkel,share lokasi bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,share lokasi bengkel
57,lokasi_bengkel,ada maps bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,maps bengkel
58,lokasi_bengkel,kirim alamat bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,kirim alamat bengkel
59,lokasi_bengkel,bengkel dekat mana,Bengkel berada di depan Masjid Senduro.,open_maps,bengkel dekat mana
60,lokasi_bengkel,rute ke bengkel gimana,Bengkel berada di depan Masjid Senduro.,open_maps,rute bengkel gimana
61,lokasi_bengkel,posisi bengkel dimana,Bengkel berada di depan Masjid Senduro.,open_maps,posisi bengkel
62,lokasi_bengkel,lokasi lengkap bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,lokasi lengkap bengkel
63,lokasi_bengkel,maps kurnia motor,Bengkel berada di depan Masjid Senduro.,open_maps,maps kurnia motor
64,lokasi_bengkel,saya mau ke bengkel,Bengkel berada di depan Masjid Senduro.,open_maps,mau bengkel
65,kontak_admin,nomor wa bengkel berapa,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor wa bengkel berapa
66,kontak_admin,wa bengkel berapa,Nomor WhatsApp kami adalah 085606213825.,open_wa,wa bengkel berapa
67,kontak_admin,nomor whatsapp bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor whatsapp bengkel
68,kontak_admin,bisa hubungi lewat whatsapp,Nomor WhatsApp kami adalah 085606213825.,open_wa,hubung lewat whatsapp
69,kontak_admin,kontak admin ada,Nomor WhatsApp kami adalah 085606213825.,open_wa,kontak admin
70,kontak_admin,nomor telepon bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor telepon bengkel
71,kontak_admin,minta nomor admin,Nomor WhatsApp kami adalah 085606213825.,open_wa,minta nomor admin
72,kontak_admin,saya mau chat petugas,Nomor WhatsApp kami adalah 085606213825.,open_wa,mau chat tugas
73,kontak_admin,hubungi petugas bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,hubung tugas bengkel
74,kontak_admin,nomor bengkel berapa,Nomor WhatsApp kami adalah 085606213825.,open_wa,nomor bengkel berapa
75,kontak_admin,kontak bengkel,Nomor WhatsApp kami adalah 085606213825.,open_wa,kontak bengkel
76,kontak_admin,admin bisa dihubungi,Nomor WhatsApp kami adalah 085606213825.,open_wa,admin hubung
77,harga_servis,ganti oli motor berapa,"Biaya ganti oli mulai Rp50.000, belum termasuk harga oli tertentu.",,ganti oli motor berapa
78,harga_servis,servis motor berapa,Biaya servis motor mulai dari Rp75.000.,,servis motor berapa
79,harga_servis,servis lengkap habis berapa,Biaya servis lengkap mulai dari Rp150.000.,,servis lengkap habis berapa
80,harga_servis,tune up motor berapa,Biaya tune up mulai dari Rp100.000.,,tune up motor berapa
81,harga_servis,servis ringan berapa,Biaya servis ringan mulai dari Rp75.000.,,servis ringan berapa
82,harga_servis,cek motor bayar tidak,Pengecekan motor gratis.,,cek motor bayar
83,harga_servis,biaya cek kerusakan motor,Pengecekan motor gratis.,,biaya cek rusa motor
84,harga_servis,tarif servis matic,Biaya servis motor matic mulai dari Rp75.000.,,tarif servis matic
85,harga_servis,harga servis injeksi,Biaya servis injeksi menyesuaikan kondisi motor.,,harga servis injeksi
86,harga_servis,berapa biaya perbaikan rem,Biaya perbaikan rem menyesuaikan kondisi dan sparepart.,,berapa biaya baik rem
87,harga_servis,biaya ganti ban,Biaya penggantian ban menyesuaikan jenis ban.,,biaya ganti ban
88,harga_servis,harga tune up bengkel,Biaya tune up mulai dari Rp100.000.,,harga tune up bengkel
89,layanan_servis,motor saya brebet,Sedang menganalisis keluhan motor.,diagnosa,motor brebet
90,layanan_servis,motor brebet saat digas,Sedang menganalisis keluhan motor.,diagnosa,motor brebet gas
91,layanan_servis,motor brebet di tanjakan,Sedang menganalisis keluhan motor.,diagnosa,motor brebet tanjak
92,layanan_servis,motor brebet saat dingin,Sedang menganalisis keluhan motor.,diagnosa,motor brebet dingin
93,layanan_servis,motor susah hidup,Sedang menganalisis keluhan motor.,diagnosa,motor susah hidup
94,layanan_servis,rem motor keras,Sedang menganalisis keluhan motor.,diagnosa,rem motor keras
95,layanan_servis,mesin motor cepat panas,Sedang menganalisis keluhan motor.,diagnosa,mesin motor cepat panas
96,layanan_servis,bisa servis motor matic,Bengkel melayani servis motor matic.,,servis motor matic
97,layanan_servis,bisa servis injeksi,Bengkel menerima servis injeksi.,,servis injeksi
98,layanan_servis,bisa tune up motor,Bengkel melayani tune up motor.,,tune up motor
99,layanan_servis,bisa ganti ban,Bengkel melayani penggantian ban.,,ganti ban
100,layanan_servis,bisa ganti oli,Bengkel melayani penggantian oli.,,ganti oli
101,layanan_servis,bisa perbaiki rem motor,Bengkel melayani perbaikan rem motor.,,baik rem motor
102,layanan_servis,servis motor karburator bisa,Bengkel melayani servis motor karburator.,,servis motor karburator
